transaction_id,customer_id,product_id,purchase_date,quantity,price
TXN_0000001,CUST_00620,PROD_00160,2025-03-13,2,38.89
TXN_0000002,CUST_00819,PROD_00203,2025-02-24,1,10.76
TXN_0000003,CUST_00636,PROD_00373,2025-02-17,2,14.97
TXN_0000004,CUST_00180,PROD_00310,2024-05-06,2,730.21
TXN_0000005,CUST_00446,PROD_00404,2024-08-20,1,780.0
TXN_0000006,CUST_00647,PROD_00022,2025-03-17,2,127.47
TXN_0000007,CUST_00273,PROD_00480,2025-07-02,1,556.11
TXN_0000008,CUST_00647,PROD_00312,2024-11-21,1,289.94
TXN_0000009,CUST_00789,PROD_00166,2024-10-27,1,400.19
TXN_0000010,CUST_00244,PROD_00076,2025-06-17,2,558.51
TXN_0000011,CUST_00273,PROD_00315,2025-06-27,1,407.71
TXN_0000012,CUST_00727,PROD_00140,2025-04-02,1,117.24
TXN_0000013,CUST_00820,PROD_00141,2025-05-02,1,1181.91
TXN_0000014,CUST_00395,PROD_00049,2024-09-03,2,625.33
TXN_0000015,CUST_00765,PROD_00074,2024-09-10,2,1222.09
TXN_0000016,CUST_00516,PROD_00485,2022-01-16,1,785.41
TXN_0000017,CUST_00143,PROD_00193,2025-02-06,1,429.17
TXN_0000018,CUST_00706,PROD_00388,2025-06-25,2,781.41
TXN_0000019,CUST_00850,PROD_00492,2025-07-06,2,782.41
TXN_0000020,CUST_00937,PROD_00488,2025-02-12,1,455.33
TXN_0000021,CUST_00785,PROD_00317,2024-08-07,1,35.31
TXN_0000022,CUST_00668,PROD_00238,2025-06-08,2,266.45
TXN_0000023,CUST_00748,PROD_00377,2025-02-21,1,436.48
TXN_0000024,CUST_00789,PROD_00404,2024-12-27,1,780.0
TXN_0000025,CUST_00106,PROD_00071,2023-02-01,1,671.79
TXN_0000026,CUST_00446,PROD_00442,2025-03-18,1,101.34
TXN_0000027,CUST_00174,PROD_00325,2025-07-07,2,286.22
TXN_0000028,CUST_00393,PROD_00292,2025-01-22,1,163.12
TXN_0000029,CUST_00953,PROD_00278,2025-06-20,1,648.07
TXN_0000030,CUST_00622,PROD_00049,2024-12-10,2,625.33
TXN_0000031,CUST_00431,PROD_00424,2025-06-08,1,446.97
TXN_0000032,CUST_00316,PROD_00109,2024-02-23,2,1524.62
TXN_0000033,CUST_00454,PROD_00484,2025-06-15,1,316.84
TXN_0000034,CUST_00686,PROD_00256,2022-10-30,1,465.68
TXN_0000035,CUST_00026,PROD_00076,2025-04-18,1,558.51
TXN_0000036,CUST_00989,PROD_00371,2024-12-28,1,707.82
TXN_0000037,CUST_00184,PROD_00344,2025-05-30,1,684.02
TXN_0000038,CUST_00364,PROD_00443,2025-01-07,2,966.48
TXN_0000039,CUST_00457,PROD_00122,2025-06-26,2,25.58
TXN_0000040,CUST_00287,PROD_00064,2025-06-30,3,397.66
TXN_0000041,CUST_00530,PROD_00347,2025-06-07,1,970.95
TXN_0000042,CUST_00005,PROD_00274,2025-07-08,1,1381.1
TXN_0000043,CUST_00053,PROD_00098,2025-06-21,3,59.35
TXN_0000044,CUST_00395,PROD_00226,2024-11-07,1,387.93
TXN_0000045,CUST_00658,PROD_00478,2025-06-25,2,490.85
TXN_0000046,CUST_00398,PROD_00230,2025-05-20,1,1246.53
TXN_0000047,CUST_00819,PROD_00466,2025-02-11,1,457.91
TXN_0000048,CUST_00142,PROD_00425,2025-06-09,2,771.15
TXN_0000049,CUST_00630,PROD_00041,2025-05-01,1,366.13
TXN_0000050,CUST_00937,PROD_00297,2025-02-12,2,422.08
TXN_0000051,CUST_00472,PROD_00196,2025-07-01,1,717.14
TXN_0000052,CUST_00989,PROD_00364,2025-03-20,1,43.17
TXN_0000053,CUST_00473,PROD_00040,2025-06-05,1,702.12
TXN_0000054,CUST_00857,PROD_00102,2025-07-03,1,772.11
TXN_0000055,CUST_00125,PROD_00187,2025-01-07,1,416.35
TXN_0000056,CUST_00748,PROD_00189,2024-07-29,1,1168.38
TXN_0000057,CUST_00470,PROD_00410,2024-07-19,1,28.32
TXN_0000058,CUST_00244,PROD_00488,2025-05-11,1,455.33
TXN_0000059,CUST_00042,PROD_00081,2025-07-07,1,1785.69
TXN_0000060,CUST_00590,PROD_00271,2025-06-24,1,299.14
TXN_0000061,CUST_00440,PROD_00107,2025-05-31,2,149.02
TXN_0000062,CUST_00630,PROD_00049,2025-03-16,1,625.33
TXN_0000063,CUST_00690,PROD_00352,2025-07-04,2,158.22
TXN_0000064,CUST_00431,PROD_00293,2024-06-16,2,141.36
TXN_0000065,CUST_00870,PROD_00102,2025-03-28,1,772.11
TXN_0000066,CUST_00184,PROD_00321,2025-07-09,1,38.52
TXN_0000067,CUST_00549,PROD_00294,2025-06-15,1,239.03
TXN_0000068,CUST_00783,PROD_00129,2025-05-26,2,40.48
TXN_0000069,CUST_00775,PROD_00490,2025-05-17,1,1922.26
TXN_0000070,CUST_00034,PROD_00019,2025-07-08,1,34.15
TXN_0000071,CUST_00937,PROD_00196,2025-06-16,3,717.14
TXN_0000072,CUST_00263,PROD_00221,2025-02-25,1,596.85
TXN_0000073,CUST_00353,PROD_00124,2025-05-08,1,288.8
TXN_0000074,CUST_00351,PROD_00438,2025-05-10,1,1364.55
TXN_0000075,CUST_00273,PROD_00282,2025-06-06,3,625.89
TXN_0000076,CUST_00172,PROD_00278,2024-03-16,2,648.07
TXN_0000077,CUST_00977,PROD_00497,2025-06-30,2,89.26
TXN_0000078,CUST_00937,PROD_00323,2025-06-16,2,773.69
TXN_0000079,CUST_00042,PROD_00268,2025-07-08,2,446.0
TXN_0000080,CUST_00704,PROD_00308,2025-03-16,2,447.56
TXN_0000081,CUST_00070,PROD_00377,2025-04-20,2,436.48
TXN_0000082,CUST_00329,PROD_00298,2025-06-28,2,16.85
TXN_0000083,CUST_00294,PROD_00108,2025-04-28,1,43.1
TXN_0000084,CUST_00864,PROD_00325,2025-05-24,3,286.22
TXN_0000085,CUST_00922,PROD_00480,2025-07-09,1,556.11
TXN_0000086,CUST_00719,PROD_00165,2023-11-15,2,121.74
TXN_0000087,CUST_00616,PROD_00486,2025-07-09,1,420.71
TXN_0000088,CUST_00814,PROD_00121,2025-04-22,1,481.15
TXN_0000089,CUST_00398,PROD_00416,2025-06-30,2,993.95
TXN_0000090,CUST_00426,PROD_00060,2025-05-03,2,888.37
